date,hall_name,machine_name,machine_number,total_games,bb_count,rb_count,diff_medals
2026-02-01,ホールA,マイジャグラーV,101,8200,32,22,+1500
2026-02-01,ホールA,マイジャグラーV,102,7500,25,15,-200
2026-02-01,ホールA,マイジャグラーV,103,6800,22,18,+800
2026-02-01,ホールA,マイジャグラーV,104,7200,24,12,-600
2026-02-01,ホールA,マイジャグラーV,105,8500,35,28,+3200
2026-02-01,ホールA,マイジャグラーV,106,5500,18,10,-800
2026-02-08,ホールA,マイジャグラーV,101,7800,30,20,+1200
2026-02-08,ホールA,マイジャグラーV,102,8100,28,14,-100
2026-02-08,ホールA,マイジャグラーV,103,7000,23,20,+900
2026-02-08,ホールA,マイジャグラーV,104,6500,20,13,-400
2026-02-08,ホールA,マイジャグラーV,105,9000,38,30,+4000
2026-02-08,ホールA,マイジャグラーV,106,6000,19,11,-500
2026-02-15,ホールA,マイジャグラーV,101,8000,33,24,+2000
2026-02-15,ホールA,マイジャグラーV,102,7200,23,14,-300
2026-02-15,ホールA,マイジャグラーV,103,6500,25,19,+1100
2026-02-15,ホールA,マイジャグラーV,104,7800,26,15,+200
2026-02-15,ホールA,マイジャグラーV,105,8800,36,26,+3500
2026-02-15,ホールA,マイジャグラーV,106,5800,17,9,-900
